Code,Long,Lat,Flag
534020591,140.1125,35.5416666666667,1
,140.11875,35.5416666666667,0
,140.11875,35.5458333333333,0
,140.1125,35.5458333333333,0
,140.1125,35.5416666666667,0
534020592,140.11875,35.5416666666667,1
,140.125,35.5416666666667,0
,140.125,35.5458333333333,0
,140.11875,35.5458333333333,0
,140.11875,35.5416666666667,0
534020593,140.1125,35.5458333333333,1
,140.11875,35.5458333333333,0
,140.11875,35.55,0
,140.1125,35.55,0
,140.1125,35.5458333333333,0
534020594,140.11875,35.5458333333333,1
,140.125,35.5458333333333,0
,140.125,35.55,0
,140.11875,35.55,0
,140.11875,35.5458333333333,0
534020671,140.0875,35.55,1
,140.09375,35.55,0
,140.09375,35.5541666666667,0
,140.0875,35.5541666666667,0
,140.0875,35.55,0
534020672,140.09375,35.55,1
,140.1,35.55,0
,140.1,35.5541666666667,0
,140.09375,35.5541666666667,0
,140.09375,35.55,0
534020673,140.0875,35.5541666666667,1
,140.09375,35.5541666666667,0
,140.09375,35.5583333333333,0
,140.0875,35.5583333333333,0
,140.0875,35.5541666666667,0
534020674,140.09375,35.5541666666667,1
,140.1,35.5541666666667,0
,140.1,35.5583333333333,0
,140.09375,35.5583333333333,0
,140.09375,35.5541666666667,0
534020681,140.1,35.55,1
,140.10625,35.55,0
,140.10625,35.5541666666667,0
,140.1,35.5541666666667,0
,140.1,35.55,0
534020682,140.10625,35.55,1
,140.1125,35.55,0
,140.1125,35.5541666666667,0
,140.10625,35.5541666666667,0
,140.10625,35.55,0
534020683,140.1,35.5541666666667,1
,140.10625,35.5541666666667,0
,140.10625,35.5583333333333,0
,140.1,35.5583333333333,0
,140.1,35.5541666666667,0
534020684,140.10625,35.5541666666667,1
,140.1125,35.5541666666667,0
,140.1125,35.5583333333333,0
,140.10625,35.5583333333333,0
,140.10625,35.5541666666667,0
534020691,140.1125,35.55,1
,140.11875,35.55,0
,140.11875,35.5541666666667,0
,140.1125,35.5541666666667,0
,140.1125,35.55,0
534020692,140.11875,35.55,1
,140.125,35.55,0
,140.125,35.5541666666667,0
,140.11875,35.5541666666667,0
,140.11875,35.55,0
534020693,140.1125,35.5541666666667,1
,140.11875,35.5541666666667,0
,140.11875,35.5583333333333,0
