KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
524050852,0,,,15,7,8,1,0,1,14,7,7,5,3,2,14,7,7,14,7,7,9,4,5,5,1,4,0,0,0,0,0,0,0,0,0,7,7,1,4,2,0,0,0,0,6,6,0,0,6,0,1,2
524051354,0,,,21,10,11,0,0,0,21,10,11,8,3,5,21,10,11,20,10,10,13,7,6,11,5,6,2,0,2,0,0,0,0,0,0,10,10,6,0,1,3,0,0,0,4,2,2,0,10,0,6,0
524051374,2,524051472,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524051401,2,524051403,,34,20,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524051403,1,,524051401;524051501;524051504;524051601;524051603,678,265,413,66,27,39,616,249,367,464,176,288,607,244,363,586,241,345,152,73,79,74,35,39,26,7,19,4,3,1,26,5,21,417,417,288,65,37,27,6,4,0,138,114,24,20,91,149,24,28
524051404,0,,,227,107,120,7,5,2,175,74,101,119,51,68,173,73,100,155,71,84,56,23,33,29,10,19,10,1,9,2,1,1,1,0,1,144,143,106,26,5,2,4,0,0,35,28,7,1,28,24,11,7
524051411,0,,,200,82,118,15,6,9,185,76,109,91,42,49,179,74,105,177,73,104,94,34,60,50,19,31,18,5,13,3,1,2,2,0,2,90,90,32,28,17,8,2,2,1,58,49,9,4,69,0,24,12
524051412,0,,,501,252,249,34,21,13,467,231,236,224,113,111,452,223,229,450,222,228,243,118,125,140,68,72,47,21,26,3,2,1,7,4,3,224,224,72,85,32,19,11,3,2,151,126,25,9,167,3,49,48
524051413,0,,,122,62,60,8,6,2,114,56,58,60,34,26,109,52,57,108,52,56,54,22,32,27,9,18,14,5,9,1,0,1,0,0,0,50,50,14,18,9,3,4,1,1,36,27,9,2,37,0,9,9
524051414,0,,,77,35,42,9,4,5,66,30,36,40,18,22,65,30,35,64,30,34,26,12,14,14,5,9,9,2,7,0,0,0,0,0,0,33,33,12,8,6,6,0,0,1,21,15,6,3,18,1,5,3
524051421,0,,,117,56,61,14,6,8,100,48,52,36,19,17,100,48,52,100,48,52,64,29,35,33,16,17,13,6,7,2,0,2,1,1,0,53,53,14,22,12,3,1,1,0,36,31,5,3,41,0,11,14
524051423,0,,,515,238,277,29,13,16,486,225,261,267,127,140,471,217,254,465,213,252,219,98,121,109,41,68,41,14,27,3,1,2,6,0,6,230,230,78,76,40,23,6,6,1,149,110,39,11,158,3,50,32
